"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.397460740E-1,-1.438915253E0,9.682451248E0,0.000000000E0,9.788786405E0
4.417460400E-1,-1.446097851E0,9.660902977E0,-1.915361360E-2,9.768552205E0
4.437460060E-1,-1.446097851E0,9.663297653E0,-1.915361360E-2,9.770920499E0
4.457459720E-1,-1.776497602E0,9.756670952E0,2.274491638E-1,9.919692783E0
4.477459380E-1,-1.857900500E0,9.754277229E0,1.580173075E-1,9.930895630E0
4.497459040E-1,-1.795651317E0,9.723152161E0,3.591302410E-2,9.887635781E0
4.517458700E-1,-1.659181833E0,9.696816444E0,-1.268926859E-1,9.838558597E0
4.537459700E-1,-1.374271750E0,9.656114578E0,-1.340752989E-1,9.754339946E0
4.557451360E-1,-1.352723956E0,9.646537781E0,-7.661445439E-2,9.741222871E0
4.577443020E-1,-1.352723956E0,9.646537781E0,-7.661445439E-2,9.741222871E0
4.597443350E-1,-1.340752959E0,9.644144058E0,-1.675941236E-2,9.736909879E0
4.617443680E-1,-1.345541358E0,9.641749382E0,3.112462163E-2,9.735234020E0
4.637444010E-1,-1.393425345E0,9.634567261E0,7.422025502E-2,9.735092662E0
4.657444340E-1,-1.429338455E0,9.646537781E0,7.661445439E-2,9.752157164E0
4.677444670E-1,-1.455674648E0,9.653720856E0,7.182604820E-2,9.763118048E0
4.697444670E-1,-1.458068848E0,9.646537781E0,6.464344263E-2,9.756322806E0
4.717444330E-1,-1.450886250E0,9.646537781E0,3.351882473E-2,9.755095365E0
4.737443990E-1,-1.448492050E0,9.668086052E0,-2.394201700E-3,9.775992168E0
4.757452320E-1,-1.434126854E0,9.670479774E0,-2.154781483E-2,9.776265300E0
4.777460650E-1,-1.412579060E0,9.668086052E0,-3.112462163E-2,9.770784833E0
4.797454650E-1,-1.393425345E0,9.687239647E0,-1.915361360E-2,9.786961379E0
4.817454310E-1,-1.381454349E0,9.687239647E0,-1.436521020E-2,9.785255973E0
4.837454310E-1,-1.395819545E0,9.701604843E0,-4.788403399E-3,9.801503541E0
4.857454310E-1,-1.410184860E0,9.694421768E0,1.915361360E-2,9.796468834E0
4.877454640E-1,-1.429338455E0,9.692028046E0,4.070143029E-2,9.796942006E0
4.897454970E-1,-1.470039845E0,9.715970039E0,6.224924326E-2,9.826747474E0
4.917455300E-1,-1.489193439E0,9.708786964E0,3.830722719E-2,9.822408506E0
4.937455630E-1,-1.522712231E0,9.684844971E0,-1.436521020E-2,9.803829915E0
4.957448290E-1,-1.522712231E0,9.684844971E0,-1.436521020E-2,9.803829915E0
4.977439950E-1,-1.522712231E0,9.684844971E0,-1.436521020E-2,9.803829915E0
4.997440280E-1,-1.515529633E0,9.684844971E0,-1.675941236E-2,9.802720696E0
5.017440280E-1,-1.501164436E0,9.672874451E0,-9.576806799E-3,9.788671336E0
5.037440280E-1,-1.489193439E0,9.687239647E0,-1.675941236E-2,9.801050452E0
5.057440280E-1,-1.474828243E0,9.684844971E0,-4.788403399E-3,9.796497506E0
5.077440280E-1,-1.482010841E0,9.689633369E0,1.197100803E-2,9.802320862E0
5.097440280E-1,-1.505952835E0,9.658509254E0,3.351882473E-2,9.775265647E0
5.117440280E-1,-1.515529633E0,9.670479774E0,2.394201607E-2,9.788543424E0
5.137439280E-1,-1.527500629E0,9.670479774E0,2.394201607E-2,9.790403999E0
5.157447610E-1,-1.551442742E0,9.648932457E0,2.873042040E-2,9.772906302E0
5.177455940E-1,-1.561019540E0,9.634567261E0,2.873042040E-2,9.760250701E0
5.197455600E-1,-1.570596337E0,9.636960983E0,3.591302410E-2,9.764173267E0
5.217455260E-1,-1.587355733E0,9.644144058E0,2.633621916E-2,9.773940169E0
5.237454920E-1,-1.620874524E0,9.622595787E0,2.873042040E-2,9.758197033E0
5.257454580E-1,-1.630451322E0,9.624990463E0,3.830722719E-2,9.762186250E0
5.277454240E-1,-1.649604917E0,9.627384186E0,2.873042040E-2,9.767729935E0
5.297453900E-1,-1.680729628E0,9.634567261E0,5.985504389E-2,9.780251582E0
5.317453900E-1,-1.675941229E0,9.639355659E0,5.746084079E-2,9.784132986E0
5.337454230E-1,-1.611297727E0,9.613018990E0,9.576806426E-2,9.747593856E0
5.357445890E-1,-1.611297727E0,9.613018990E0,9.576806426E-2,9.747593856E0
5.377437550E-1,-1.611297727E0,9.613018990E0,9.576806426E-2,9.747593856E0
5.397437880E-1,-1.606509328E0,9.617807388E0,8.619125932E-2,9.751436823E0
5.417438210E-1,-1.582567334E0,9.613018990E0,5.027823523E-2,9.742544912E0
5.437438540E-1,-1.551442742E0,9.598653793E0,3.351882473E-2,9.723284051E0
5.457438870E-1,-1.532289028E0,9.586683273E0,2.873042040E-2,9.708410338E0
5.477438870E-1,-1.501164436E0,9.593865395E0,4.788403399E-3,9.710600950E0
5.497438530E-1,-1.479616642E0,9.591471672E0,-2.873042040E-2,9.704968814E0
5.517438190E-1,-1.460463047E0,9.593865395E0,-2.633621916E-2,9.704426779E0
5.537437850E-1,-1.407790542E0,9.617807388E0,-1.675941236E-2,9.720307302E0
5.557446180E-1,-1.398213744E0,9.627384186E0,0.000000000E0,9.728387736E0
5.577454510E-1,-1.381454349E0,9.632172585E0,4.788403399E-3,9.730734183E0
5.597454170E-1,-1.355118155E0,9.632172585E0,-2.154781483E-2,9.727052905E0
5.617454170E-1,-1.357512355E0,9.636960983E0,-2.873042040E-2,9.732146846E0
5.637454170E-1,-1.357512355E0,9.656114578E0,-3.351882473E-2,9.751128758E0
5.657449830E-1,-1.359906554E0,9.663297653E0,-4.070143029E-2,9.758602563E0
5.677449830E-1,-1.379060149E0,9.665691376E0,-1.915361360E-2,9.763593781E0
5.697449830E-1,-1.379060149E0,9.675268173E0,-2.394201607E-2,9.773085201E0
5.717449830E-1,-1.376665950E0,9.680056572E0,-3.112462163E-2,9.777508533E0
5.737449830E-1,-1.345541358E0,9.668086052E0,-3.351882473E-2,9.761326394E0
5.757441160E-1,-1.345541358E0,9.668086052E0,-3.351882473E-2,9.761326394E0
5.777432490E-1,-1.345541358E0,9.668086052E0,-3.351882473E-2,9.761326394E0
5.797432490E-1,-1.343147159E0,9.668086052E0,-2.873042040E-2,9.760981387E0
5.817432820E-1,-1.331176162E0,9.658509254E0,-1.197100803E-2,9.749819193E0
5.837433150E-1,-1.335964561E0,9.665691376E0,2.394201700E-3,9.757581504E0
5.857433480E-1,-1.333570361E0,9.668086052E0,1.915361360E-2,9.759644700E0
5.877433810E-1,-1.340752959E0,9.651326180E0,1.197100803E-2,9.744016565E0
5.897434140E-1,-1.343147159E0,9.648932457E0,7.182605099E-3,9.741970716E0
5.917434470E-1,-1.347935557E0,9.646537781E0,0.000000000E0,9.740257770E0
5.937434470E-1,-1.359906554E0,9.658509254E0,0.000000000E0,9.753776031E0
5.957442800E-1,-1.359906554E0,9.658509254E0,-4.788403399E-3,9.753777206E0
5.977451130E-1,-1.369483352E0,9.682451248E0,-1.197100803E-2,9.778828669E0
5.997450790E-1,-1.388636947E0,9.670479774E0,-7.182605099E-3,9.769674674E0
6.017450450E-1,-1.388636947E0,9.668086052E0,7.182605099E-3,9.767305261E0
6.037450110E-1,-1.403002143E0,9.665691376E0,2.394201607E-2,9.767014795E0
6.057447770E-1,-1.398213744E0,9.703998566E0,3.351882473E-2,9.804270159E0
6.077447430E-1,-1.386242747E0,9.708786964E0,3.591302410E-2,9.807318850E0
6.097447430E-1,-1.381454349E0,9.706393242E0,3.351882473E-2,9.804264857E0
6.117447760E-1,-1.395819545E0,9.699210167E0,4.548983276E-2,9.799237694E0
6.137448090E-1,-1.386242747E0,9.713575363E0,3.830722719E-2,9.812068219E0
6.157439750E-1,-1.386242747E0,9.713575363E0,3.830722719E-2,9.812068219E0
6.177431410E-1,-1.386242747E0,9.713575363E0,3.830722719E-2,9.812068219E0
6.197431740E-1,-1.376665950E0,9.706393242E0,4.309562966E-2,9.803628723E0
6.217432070E-1,-1.364694953E0,9.694421768E0,3.591302410E-2,9.790071270E0
6.237432400E-1,-1.350329757E0,9.682451248E0,4.070143029E-2,9.776242081E0
6.257437060E-1,-1.328781962E0,9.701604843E0,2.873042040E-2,9.792222601E0
6.277437060E-1,-1.316810966E0,9.699210167E0,1.436521020E-2,9.788200822E0
6.297437060E-1,-1.300051570E0,9.708786964E0,2.394201700E-3,9.795442008E0
6.317437060E-1,-1.266532660E0,9.696816444E0,2.394201700E-3,9.779179918E0
6.337437060E-1,-1.266532660E0,9.689633369E0,-4.788403399E-3,9.772058265E0
6.357445720E-1,-1.259350061E0,9.701604843E0,2.394201700E-3,9.783000810E0
6.377454380E-1,-1.278503656E0,9.696816444E0,1.915361360E-2,9.780755984E0
6.397454380E-1,-1.285686255E0,9.711181641E0,-7.182605099E-3,9.795922090E0
6.417454040E-1,-1.283292055E0,9.706393242E0,-9.576806799E-3,9.790863087E0
6.437453700E-1,-1.259350061E0,9.687239647E0,-7.182605099E-3,9.768757656E0
6.457453360E-1,-1.221042871E0,9.677662849E0,-1.675941236E-2,9.754403354E0
6.477453020E-1,-1.213860273E0,9.684844971E0,-3.112462163E-2,9.760668400E0
6.497460020E-1,-1.235408068E0,9.670479774E0,-2.873042040E-2,9.749114708E0
6.517459680E-1,-1.256955862E0,9.632172585E0,-2.394201607E-2,9.713869464E0
6.537459340E-1,-1.333570361E0,9.605836868E0,-1.675941236E-2,9.697978796E0
6.557450670E-1,-1.333570361E0,9.605836868E0,-1.675941236E-2,9.697978796E0
6.577442000E-1,-1.333570361E0,9.605836868E0,-1.675941236E-2,9.697978796E0
6.597442330E-1,-1.345541358E0,9.598653793E0,9.576806799E-3,9.692508855E0
6.617442660E-1,-1.376665950E0,9.598653793E0,2.394201607E-2,9.696903475E0
6.637442990E-1,-1.347935557E0,9.596260071E0,-7.182605099E-3,9.690468988E0
6.657445320E-1,-1.347935557E0,9.593865395E0,-2.394201700E-3,9.688095231E0
6.677445650E-1,-1.333570361E0,9.569923401E0,0.000000000E0,9.662393275E0
6.697445980E-1,-1.295263171E0,9.577106476E0,1.436521020E-2,9.664309675E0
6.717445980E-1,-1.278503656E0,9.605836868E0,2.873042040E-2,9.690588165E0
6.737445640E-1,-1.256955862E0,9.620202065E0,4.788403399E-3,9.701971384E0
6.757453970E-1,-1.266532660E0,9.627384186E0,-1.915361360E-2,9.710355199E0
6.777462300E-1,-1.295263171E0,9.653720856E0,1.675941236E-2,9.740241985E0
6.797461960E-1,-1.335964561E0,9.672874451E0,3.830722719E-2,9.764771830E0
6.817461620E-1,-1.369483352E0,9.689633369E0,1.915361360E-2,9.785951479E0
6.837461280E-1,-1.398213744E0,9.682451248E0,-3.351882473E-2,9.782943696E0
6.857460940E-1,-1.414973259E0,9.687239647E0,-3.830722719E-2,9.790108720E0
6.877460940E-1,-1.580173135E0,9.610625267E0,-7.422025502E-2,9.739947320E0
6.897461270E-1,-2.236184359E0,9.483732224E0,-2.011129409E-1,9.745878297E0
6.917461600E-1,-2.315192938E0,9.493309021E0,-1.412578970E-1,9.772563036E0
