"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.751096190E-1,-3.711012602E0,1.118361568E1,-1.029506698E-1,1.178369522E1
5.771095850E-1,-2.145204782E0,1.139669895E1,-5.506663769E-2,1.159696869E1
5.791095510E-1,-1.632845521E0,1.151162148E1,-5.027823523E-2,1.162695753E1
5.811095170E-1,-1.149216771E0,1.166006184E1,-2.394201700E-3,1.171655866E1
5.831094830E-1,-6.512228847E-1,1.163851357E1,1.436521020E-2,1.165672748E1
5.851094490E-1,-2.418143749E-1,1.135599804E1,-7.422025502E-2,1.135881483E1
5.871094150E-1,7.493851185E-1,1.056351757E1,1.771709323E-1,1.059154715E1
5.891094150E-1,9.672574997E-1,8.741529465E0,1.340752989E-1,8.795902491E0
5.911085810E-1,9.672574997E-1,8.741529465E0,1.340752989E-1,8.795902491E0
5.931077470E-1,9.672574997E-1,8.741529465E0,1.340752989E-1,8.795902491E0
5.951077800E-1,1.388636976E-1,9.038411140E0,3.136404157E-1,9.044917323E0
5.971074130E-1,-5.961562395E-1,9.718363762E0,4.405331016E-1,9.746592527E0
5.991074460E-1,-7.278373241E-1,9.917082787E0,5.243301988E-1,9.957570001E0
6.011076120E-1,-7.398083210E-1,1.006791782E1,7.230489254E-1,1.012092315E1
6.031076450E-1,-6.655880809E-1,1.010383034E1,9.169792533E-1,1.016716509E1
6.051076450E-1,-6.536170840E-1,1.010143661E1,9.696516991E-1,1.016889676E1
6.071076110E-1,-5.434837937E-1,9.984120369E0,1.012747288E0,1.005005927E1
6.091075770E-1,6.943184882E-2,9.653720856E0,7.900865674E-1,9.686247154E0
6.111084100E-1,6.943184882E-2,9.282619476E0,7.900865674E-1,9.316441483E0
6.131092760E-1,1.007958889E0,8.030451775E0,7.517793179E-1,8.128302957E0
6.151092420E-1,8.762778044E-1,7.376834869E0,1.098938584E0,7.509542029E0
6.171092080E-1,4.548983276E-1,7.467814445E0,1.089361787E0,7.560548537E0
6.191091740E-1,2.272097349E0,6.486191750E0,6.153098345E-1,6.900124344E0
6.211091740E-1,-2.681505978E-1,7.494150639E0,7.469909191E-1,7.536059578E0
6.231092070E-1,-1.185129881E0,8.253112793E0,8.762778044E-1,8.383690500E0
6.251092400E-1,-1.630451322E0,9.701604843E0,6.584054828E-1,9.859665604E0
6.271092730E-1,-1.616086125E0,1.085560989E1,2.920926213E-1,1.097913105E1
6.291093060E-1,-7.637503147E-1,1.117882729E1,4.237737060E-1,1.121289785E1
6.311084720E-1,-7.637503147E-1,1.117882729E1,4.237737060E-1,1.121289785E1
6.331076380E-1,-4.764461517E-1,1.090588760E1,6.129156351E-1,1.093348302E1
6.351076710E-1,-2.729389966E-1,1.065210247E1,7.062895298E-1,1.067898065E1
6.371077040E-1,-9.097966552E-2,1.030494308E1,7.350199223E-1,1.033152378E1
6.391077040E-1,9.457096457E-1,8.640973091E0,1.316810966E0,8.791744640E0
6.411077040E-1,4.548983276E-1,7.676109791E0,1.362300754E0,7.809318623E0
6.431077040E-1,7.038952708E-1,6.998550892E0,8.499416113E-1,7.085025327E0
6.451077040E-1,-8.116343617E-1,7.484573841E0,5.722141862E-1,7.550167216E0
6.471077040E-1,-3.284844637E0,9.007286072E0,1.170764685E0,9.658783392E0
6.491077040E-1,-3.598485231E0,9.914688110E0,4.309562966E-2,1.054760606E1
6.511085370E-1,-3.380612850E0,1.192821217E1,-7.469909191E-1,1.242049855E1
6.531093700E-1,-2.700659513E0,1.303672791E1,-9.600749016E-1,1.334809275E1
6.551093360E-1,-2.319981337E0,1.314207268E1,-7.733271718E-1,1.336766332E1
6.571097020E-1,-1.022324085E0,1.247648430E1,-1.987187415E-1,1.251987604E1
6.591096680E-1,1.307234168E0,1.089870548E1,1.185129881E0,1.104061480E1
6.611096340E-1,2.140416384E0,1.039592266E1,1.156399369E0,1.067679024E1
6.631096000E-1,2.568978310E0,9.608230591E0,6.224924326E-1,9.965201527E0
6.651095660E-1,2.027888775E0,9.447818756E0,4.070143029E-2,9.663087950E0
6.671091320E-1,-9.576806799E-3,1.049169159E1,3.830722570E-1,1.049868699E1
6.691091650E-1,4.094084799E-1,1.177737713E1,5.937620401E-1,1.179943985E1
6.711083310E-1,4.094084799E-1,1.171752262E1,5.937620401E-1,1.173969783E1
6.731074640E-1,4.094084799E-1,1.171752262E1,5.937620401E-1,1.173969783E1
6.751074970E-1,4.094084799E-1,1.171752262E1,5.937620401E-1,1.173969783E1
6.771075300E-1,8.451532125E-1,1.158823586E1,5.458779931E-1,1.163183034E1
6.791075630E-1,8.762778044E-1,1.137036324E1,6.847416759E-1,1.142461790E1
6.811075960E-1,8.738836050E-1,1.117643261E1,7.613561153E-1,1.123636870E1
6.831075960E-1,9.528923035E-1,1.066407394E1,9.121908545E-1,1.074535104E1
6.851075620E-1,9.888052940E-1,1.015171432E1,7.158663273E-1,1.022484739E1
6.871075280E-1,9.504981041E-1,9.830891609E0,6.033388376E-1,9.895144983E0
6.891074940E-1,8.451532125E-1,9.352050781E0,5.434837937E-1,9.405876482E0
6.911083270E-1,6.751648784E-1,9.117419243E0,2.873041928E-1,9.146897013E0
6.931091600E-1,6.943184733E-1,8.985737801E0,4.094084799E-1,9.021816739E0
6.951091260E-1,6.799532771E-1,8.652944565E0,3.926490843E-1,8.688495808E0
6.971090920E-1,4.357447028E-1,8.545205116E0,2.226607651E-1,8.559204504E0
6.991090920E-1,1.340752989E-1,8.571541786E0,4.189853072E-1,8.582823164E0
7.011091250E-1,1.029506698E-1,8.559570312E0,6.153098345E-1,8.582275279E0
7.031091580E-1,3.351882473E-2,8.619425774E0,8.355764151E-1,8.659896773E0
7.051091910E-1,-7.182605099E-3,8.767866135E0,1.005564690E0,8.825343534E0
7.071092240E-1,6.224924326E-2,8.775048256E0,1.154005170E0,8.850823396E0
7.091092570E-1,2.370259613E-1,8.370428085E0,2.561795712E0,8.756885571E0
7.111084230E-1,2.370259613E-1,8.370428085E0,2.561795712E0,8.756885571E0
7.131075890E-1,2.370259613E-1,8.370428085E0,2.561795712E0,8.756885571E0
7.151075890E-1,2.442085743E-1,8.449437141E0,2.375048161E0,8.780289266E0
7.171075890E-1,2.992752194E-1,8.626607895E0,2.233790159E0,8.916150958E0
7.191075890E-1,3.567360640E-1,8.722375870E0,1.991975784E0,8.954053214E0
7.211075890E-1,4.333505034E-1,8.734347343E0,2.102109194E0,8.994191417E0
7.231075890E-1,2.633621991E-1,8.700828552E0,2.085349798E0,8.951115066E0
7.251075890E-1,4.644751251E-1,8.602665901E0,1.429338455E0,8.732960905E0
7.271080220E-1,4.046200812E-1,8.221987724E0,1.067813993E0,8.300905148E0
7.291079880E-1,-7.685387731E-1,8.619425774E0,5.339069963E-1,8.670075501E0
7.311088210E-1,-4.429273009E-1,8.959402084E0,1.022324085E0,9.028411645E0
7.331096870E-1,-6.967126727E-1,9.524434090E0,-8.571242094E-1,9.588269666E0
7.351096530E-1,-1.335964561E0,1.063055515E1,-2.039859772E0,1.090662790E1
7.371096190E-1,-2.027888775E0,1.148049641E1,-2.042253971E0,1.183574805E1
7.391095850E-1,-1.702277422E0,1.168160915E1,-1.711854219E0,1.192846116E1
7.411095510E-1,-7.589619160E-1,1.180850220E1,-9.624691010E-1,1.187194567E1
7.431095170E-1,-2.753331959E-1,1.127698898E1,-1.125274822E-1,1.128091093E1
7.451095170E-1,-1.795651317E-1,1.100165653E1,2.801215947E-1,1.100668698E1
7.471093500E-1,-5.985504389E-2,1.049169159E1,7.972691655E-1,1.052211068E1
7.491093830E-1,8.786720037E-1,9.878775597E0,1.146822572E0,9.983860666E0
7.511085490E-1,8.786720037E-1,9.833285332E0,1.067813993E0,9.930044896E0
7.531077150E-1,8.786720037E-1,9.833285332E0,1.067813993E0,9.930044896E0
7.551077480E-1,1.115697980E0,9.766247749E0,9.313444495E-1,9.873792563E0
7.571077810E-1,1.486799240E0,9.675268173E0,7.709329724E-1,9.819150872E0
7.591078140E-1,1.599326730E0,9.498097420E0,3.782838583E-1,9.639232296E0
7.611078140E-1,1.618480325E0,9.411906242E0,1.675941199E-1,9.551520584E0
7.631077800E-1,1.663970232E0,9.220370293E0,1.915361360E-2,9.369332534E0
7.651077460E-1,1.654393315E0,9.107842445E0,3.830722719E-2,9.256958393E0
7.671077120E-1,1.546654344E0,8.937853813E0,1.244984865E-1,9.071541783E0
7.691076780E-1,1.256955862E0,8.688857079E0,-1.484405100E-1,8.780558636E0
7.711085110E-1,1.084573388E0,8.415918350E0,-6.871358752E-1,8.513291774E0
7.731093440E-1,1.891419291E0,8.238747597E0,8.140286058E-2,8.453464102E0
7.751093440E-1,1.850717902E0,8.648156166E0,1.977610588E0,9.062378577E0
7.771093440E-1,1.582567334E0,8.909123421E0,1.807622313E0,9.227377630E0
7.791093770E-1,1.362300754E0,9.282619476E0,1.515529633E0,9.503668647E0
7.811094100E-1,1.398213744E0,9.395146370E0,1.142034173E0,9.567027701E0
7.831094430E-1,1.304839969E0,9.383175850E0,9.313444495E-1,9.519138557E0
7.851094760E-1,7.493851185E-1,9.397541046E0,3.016694188E-1,9.432198058E0
7.871095090E-1,1.819593310E-1,9.249100685E0,-1.771709323E-1,9.252586785E0
7.891095420E-1,9.481038451E-1,9.708786964E0,3.950432837E-1,9.762965964E0
7.911087080E-1,9.481038451E-1,9.708786964E0,3.950432837E-1,9.762965964E0
7.931078740E-1,9.481038451E-1,9.708786964E0,3.950432837E-1,9.762965964E0
7.951078740E-1,1.051054597E0,9.809343338E0,6.607996821E-1,9.887597722E0
7.971078740E-1,1.048660398E0,9.907505989E0,7.422025204E-1,9.990456853E0
7.991078740E-1,7.661445141E-1,1.005355263E1,5.530605912E-1,1.009785987E1
8.011078740E-1,8.379705995E-2,1.007988834E1,3.471592367E-1,1.008621289E1
8.031078740E-1,-3.088520169E-1,1.006791782E1,2.609679997E-1,1.007603410E1
8.051078740E-1,-9.265560508E-1,1.001285076E1,1.723825186E-1,1.005710705E1
8.071080400E-1,-1.350329757E0,9.857227325E0,1.699883193E-1,9.950739522E0
8.091080060E-1,-1.510741234E0,9.682451248E0,2.202665508E-1,9.802077260E0
8.111088390E-1,-1.510741234E0,9.562741280E0,1.987187415E-1,9.683380040E0
8.131096720E-1,-1.400607944E0,9.289801598E0,1.651999205E-1,9.396244321E0
8.151096380E-1,-1.323993564E0,9.153332710E0,1.460463107E-1,9.249745304E0
8.171096040E-1,-1.218648672E0,8.961795807E0,9.816227108E-2,9.044806493E0
8.191095700E-1,-1.158793569E0,8.899546623E0,8.619125932E-2,8.975085602E0
8.211095360E-1,-1.134851575E0,8.911518097E0,8.619125932E-2,8.983900702E0
8.231095360E-1,-1.130063176E0,9.028834343E0,1.292868853E-1,9.100198211E0
8.251095690E-1,-1.017535686E0,9.184456825E0,1.819593310E-1,9.242442061E0
8.271096020E-1,-8.140285611E-1,9.390357971E0,2.896983922E-1,9.430026007E0
8.291096350E-1,-4.453215301E-1,9.814131737E0,5.171475410E-1,9.837831803E0
8.311088010E-1,-4.453215301E-1,9.814131737E0,5.171475410E-1,9.837831803E0
8.331079670E-1,-4.453215301E-1,9.814131737E0,5.171475410E-1,9.837831803E0
8.351080000E-1,-3.854664862E-1,9.866804123E0,5.315127969E-1,9.888625479E0
8.371080330E-1,-2.489969730E-1,9.950601578E0,5.291185975E-1,9.967769948E0
8.391080330E-1,-1.268926859E-1,1.000806236E1,4.477157295E-1,1.001887536E1
8.411079990E-1,-9.097966552E-2,1.002242756E1,3.878606856E-1,1.003034234E1
8.431079650E-1,-9.576806426E-2,1.002242756E1,2.226607651E-1,1.002535802E1
8.451079310E-1,-1.532289088E-1,9.979331970E0,3.591302410E-2,9.980572900E0
8.471078970E-1,-2.011129409E-1,9.926659584E0,-4.548983276E-2,9.928800846E0
8.491078630E-1,-3.830722570E-1,9.835680008E0,-2.466027737E-1,9.846225597E0
8.511086960E-1,-4.525041282E-1,9.797372818E0,-3.327940404E-1,9.813461469E0
8.531095290E-1,-4.979939461E-1,9.761459351E0,-4.094084799E-1,9.782724668E0
8.551095290E-1,-6.009446383E-1,9.715970039E0,-5.817909837E-1,9.751906942E0
8.571095290E-1,-7.493851185E-1,9.739912033E0,-9.552865028E-1,9.815296061E0
8.591095290E-1,-9.361328483E-1,9.785401344E0,-1.010353088E0,9.881864072E0
8.611095290E-1,-1.019929886E0,9.763854027E0,-8.547300100E-1,9.854119231E0
8.631095290E-1,-8.403648138E-1,9.579500198E0,-2.035071403E-1,9.618443337E0
